t,predicted_x,predicted_y
6.049405472717034,59.65720348729098,46.03229588803904
6.085393308093706,59.68934086722229,46.048607982094325
6.121381143470377,59.721548790733884,46.064797890951105
6.15736897884705,59.753827287565066,46.08086556309934
6.193356814223721,59.786176379202175,46.096810961323555
6.229344649600393,59.818596078858164,46.11263406273821
6.265332484977065,59.85108639145323,46.12833485882129
6.301320320353737,59.88364731359624,46.1439133554464
6.337308155730408,59.916278833567205,46.15936957291317
6.373295991107081,59.94898093130066,46.17470354597606
6.409283826483753,59.98175357836996,46.1899153238715
6.445271661860424,60.01459673797258,46.20500497034342
6.4812594972370965,60.04751036491635,46.21997256366705
6.517247332613768,60.080494405606615,46.234818196671114
6.55323516799044,60.11354879803443,46.24954197675841
6.5892230033671115,60.14667347176565,46.264144025924566
6.625210838743784,60.17986834793103,46.278624480775285
6.661198674120455,60.21313333921728,46.29298349254179
6.6971865094971275,60.24646834985913,46.307221227094566
6.733174344873799,60.27987327563228,46.32133786495557
6.769162180250471,60.3133480038475,46.335333601308534
6.805150015627143,60.34689241334551,46.34920864600771
6.841137851003815,60.380506374492995,46.36296322358478
6.877125686380487,60.4141897491796,46.3765975732542
6.913113521757158,60.44794239081582,46.39011194891671
6.949101357133831,60.481764144331976,46.40350661916117
6.985089192510502,60.51565484617817,46.4167818672646
7.021077027887174,60.54961432432522,46.42993799119064
7.057064863263846,60.58364239826659,46.44297530358611
7.093052698640518,60.61773887902135,46.45589413177593
7.129040534017189,60.651903569138156,46.468694817756244
7.165028369393862,60.68613626270016,46.481377718185875
7.201016204770534,60.720436745331014,46.49394320437597
7.237004040147205,60.75480479420183,46.50639166227786
7.272991875523877,60.78924017803921,46.518723492469334
7.308979710900549,60.82374265713418,46.53093911013891
7.344967546277221,60.85831198335227,46.54303894506858
7.380955381653893,60.892947900144506,46.555023441614686
7.416943217030565,60.92765014255947,46.56689305868705
7.452931052407236,60.962418437256375,46.57864826972632
7.488918887783909,60.99725250251911,46.590289562679644
7.52490672316058,61.03215204827138,46.60181743997446
7.560894558537252,61.06711677609277,46.613232418490625
7.5968823939139245,61.10214637923594,46.62453502953074
7.632870229290596,61.13724054264472,46.63572581878865
7.668858064667267,61.17239894297331,46.646805346316334
7.7048459000439395,61.20762124860647,46.65777418648888
7.740833735420612,61.24290711968071,46.66863292796776
7.776821570797283,61.27825620810651,46.67938217366232
7.8128094061739555,61.313668157591614,46.6900225406896
7.848797241550627,61.3491426036652,46.7005546603322
7.884785076927299,61.38467917370325,46.710979177994616
7.9207729123039705,61.420277486954745,46.72129675315762
7.956760747680643,61.45593715456908,46.73150805933099
7.992748583057315,61.491657779624276,46.74161378400449
8.028736418433986,61.527438957156384,46.751614628597046
8.064724253810658,61.56328027418979,46.76151130840415
8.10071208918733,61.599181309768596,46.77130455254363
8.136699924564002,61.63514163498894,46.780995103899556
8.172687759940674,61.671160813032415,46.79058371906444
8.208675595317345,61.70723839920039,46.80007116827974
8.244663430694018,61.743373940949425,46.80945823537455
8.28065126607069,61.77956697792763,46.81874571770259
8.316639101447361,61.81581704201203,46.827934426077526
8.352626936824034,61.852123657346965,46.83702518470645
8.388614772200706,61.888486340383416,46.84601883112172
8.424602607577377,61.924904599919415,46.85491621611105
8.460590442954048,61.961377937141336,46.86371820364592
8.49657827833072,61.99790584566627,46.87242567080821
8.532566113707393,62.034487811585315,46.88103950771523
8.568553949084064,62.0711233135079,46.88956061744292
8.604541784460736,62.10781182260702,46.89798991594749
8.640529619837409,62.14455280266555,46.90632833198532
8.67651745521408,62.18134571012338,46.91457680703111
8.712505290590752,62.21818999412568,46.92273629519448
8.748493125967425,62.25508509657202,46.9308077631348
8.784480961344096,62.292030452166436,46.938792189974414
8.820468796720768,62.3290254884686,46.94669056721018
8.856456632097439,62.36606962594576,46.95450389862337
8.89244446747411,62.403162278025725,46.96223320018791
8.928432302850783,62.44030285115079,46.96987949997703
8.964420138227455,62.477490744832586,46.97744383806824
9.000407973604126,62.51472535170785,46.98492726644668
9.0363958089808,62.552006057595186,46.99233084890694
9.07238364435747,62.58933224155266,46.999655660953145
9.108371479734142,62.62670327593639,47.00690278969757
9.144359315110815,62.664118526460044,47.01407333375759
9.180347150487487,62.7015773522552,47.021168403151066
9.216334985864158,62.739079105932674,47.02818911919019
9.25232282124083,62.7766231336447,47.035136614373734
9.2883106566175,62.814208775148046,47.04201203227778
9.324298491994174,62.851835363868005,47.04881652744486
9.360286327370845,62.88950222696323,47.055551265271625
9.396274162747517,62.92720868539152,47.06221742189495
9.43226199812419,62.964954053976435,47.06881618407654
9.468249833500861,63.00273764147478,47.07534874908603
9.504237668877533,63.04055875064497,47.08181632458261
9.540225504254206,63.07841667831621,47.08822012849514
9.576213339630877,63.11631071545857,47.09456138890082
9.612201175007549,63.154240147253866,47.100841343902395
9.64818901038422,63.19220425316743,47.107061241503914
9.684176845760891,63.230202307020605,47.11322233948505
9.720164681137565,63.268233577064194,47.119325905273996
9.756152516514236,63.3062973260526,47.12537321581896
9.792140351890907,63.344392811318876,47.13136555745825
9.82812818726758,63.38251928485052,47.13730422578894
9.864116022644252,63.42067599336603,47.14319052553424
9.900103858020923,63.45886217839238,47.14902577040946
9.936091693397596,63.4970770763431,47.15481128298655
9.972079528774268,63.53531991859728,47.16054839455748
10.00806736415094,63.573589931579214,47.16623844499611
10.04405519952761,63.61188633683889,47.17188278261889
10.080043034904282,63.650208351133216,47.17748276404414
10.116030870280955,63.68855518650791,47.18303975405018
10.152018705657627,63.72692605038023,47.1885551254321
10.188006541034298,63.765320145622354,47.194030258857296
10.223994376410971,63.8037366706455,47.199466542719776
10.259982211787642,63.842174819484754,47.20486537299322
10.295970047164314,63.88063378188461,47.21022815308289
10.331957882540987,63.91911274338517,47.215556293676244
10.367945717917658,63.957610885409046,47.220851212592464
10.40393355329433,63.99612738534891,47.226114334630765
10.439921388671003,64.0346614166558,47.23134709141755
10.475909224047673,64.07321214892791,47.23655092125245
10.511897059424346,64.1117787480002,47.2417272689533
10.547884894801017,64.15036037603458,47.24687758569985
10.583872730177688,64.18895619161063,47.252003328876576
10.619860565554362,64.22756534981708,47.257105961914306
10.655848400931033,64.26618700234387,47.262186954130804
10.691836236307704,64.30482029757471,47.26724778057036
10.727824071684378,64.34346438068032,47.27228992184232
10.763811907061049,64.38211839371226,47.2773148639586
10.79979974243772,64.42078147569724,47.28232409817027
